paper_id,title,actual_decision,predicted_decision,quality_score,accept_probability,modify_probability,reject_probability,suggestions
JMuKfZx2xU,On Slicing Optimality for Mutual Information,Accept (poster),Modify,46.5,0.1013,0.6618,0.2369,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
9zV2OXCrVF,k-Median Clustering via Metric Embedding: Towards Better Initialization with Differential Privacy,Accept (poster),Modify,42.3,0.07,0.641,0.289,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
CAF4CnUblx,Information Maximization Perspective of Orthogonal Matching Pursuit with Applications to Explainable AI,Accept (spotlight),Modify,53.6,0.2062,0.5998,0.194,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
7ntI4kcoqG,"AMAG: Additive, Multiplicative and Adaptive Graph Neural Network For Forecasting Neuron Activity",Accept (poster),Modify,40.4,0.0435,0.6557,0.3008,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
GYnbubCXhE,Conditional Matrix Flows for Gaussian Graphical Models,Accept (poster),Modify,56.0,0.1645,0.7184,0.1171,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
36DxONZ9bA,Representational Strengths and Limitations of Transformers,Accept (poster),Accept,68.6,0.4527,0.425,0.1223,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Srt1hhQgqa,Cappy: Outperforming and Boosting Large Multi-Task LMs with a Small Scorer,Accept (poster),Modify,39.8,0.0817,0.576,0.3423,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
GIlsH0T4b2,Two-Stage Learning to Defer with Multiple Experts,Accept (poster),Modify,45.7,0.1027,0.6442,0.2532,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
M6UccKMFGl,Multiply Robust Federated Estimation of Targeted Average Treatment Effects,Accept (poster),Modify,41.6,0.1204,0.5378,0.3418,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
4KV2xLeqPN,"On the Variance, Admissibility, and Stability of Empirical Risk Minimization",Accept (spotlight),Accept,88.3,0.7484,0.2446,0.0069,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
NNooZoQpP4,To Stay or Not to Stay in the Pre-train Basin: Insights on Ensembling in Transfer Learning,Accept (poster),Modify,54.3,0.1943,0.6339,0.1718,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
frVo9MzRuU,Compositional Abilities Emerge Multiplicatively: Exploring Diffusion Models on a Synthetic Task,Accept (poster),Modify,73.4,0.4653,0.4888,0.0459,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Al9yglQGKj,"Phase diagram of early training dynamics in deep neural networks: effect of the learning rate, depth, and width",Accept (poster),Accept,81.0,0.6186,0.3478,0.0336,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
1uirUsR9E7,Explaining V1 Properties with a Biologically Constrained Deep Learning Architecture,Accept (poster),Modify,45.1,0.1172,0.6074,0.2754,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
JDoA6admhv,Adversarial Examples Might be Avoidable: The Role of Data Concentration in Adversarial Robustness,Accept (poster),Modify,50.7,0.1776,0.5981,0.2243,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Od6CHhPM7I,Red Teaming Deep Neural Networks with Feature Synthesis Tools,Accept (poster),Modify,53.9,0.2255,0.5696,0.2049,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
3PjCt4kmRx,From Pixels to UI Actions: Learning to Follow Instructions via Graphical User Interfaces,Accept (spotlight),Modify,35.7,0.083,0.4984,0.4186,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
0rEJx5QAxt,Convex-Concave Zero-Sum Markov Stackelberg Games,Accept (poster),Modify,66.5,0.3477,0.5762,0.076,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
frHPeRedHo,Agnostically Learning Single-Index Models using Omnipredictors,Accept (poster),Modify,64.4,0.304,0.6179,0.0781,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
a147pIS2Co,Training Chain-of-Thought via Latent-Variable Inference,Accept (poster),Modify,46.3,0.1539,0.5618,0.2843,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
GhNCFtLSsy,Combining Behaviors with the Successor Features Keyboard,Accept (poster),Modify,41.2,0.046,0.6648,0.2892,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
NnMEadcdyD,Understanding Diffusion Objectives as the ELBO with Simple Data Augmentation,Accept (oral),Modify,50.9,0.2374,0.4947,0.2679,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
SVBR6xBaMl,Language Models Meet World Models: Embodied Experiences Enhance Language Models,Accept (poster),Modify,35.3,0.0649,0.5244,0.4107,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
GEMHw2sd9S,Smooth Flipping Probability for Differential Private Sign Random Projection Methods,Accept (poster),Modify,53.0,0.1375,0.7129,0.1497,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
sgCrNMOuXp,Data Market Design through Deep Learning,Accept (poster),Modify,48.8,0.1813,0.557,0.2616,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
LjWJLkSpjh,When Can We Track Significant Preference Shifts in Dueling Bandits?,Accept (poster),Modify,57.7,0.2143,0.6589,0.1268,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
bzs4uPLXvi,Language Models Don't Always Say What They Think: Unfaithful Explanations in Chain-of-Thought Prompting,Accept (poster),Modify,59.9,0.3,0.5444,0.1557,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
EhhPtGsVAv,f-Policy Gradients: A General Framework for Goal-Conditioned RL using f-Divergences,Accept (poster),Modify,45.4,0.0826,0.6752,0.2422,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
CSbGXyCswu,Fine-Grained Human Feedback Gives Better Rewards for Language Model Training,Accept (spotlight),Modify,48.1,0.1368,0.626,0.2372,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
Eb74zfBkWa,Disentangled Wasserstein Autoencoder for T-Cell Receptor Engineering,Accept (poster),Modify,31.1,0.0403,0.4915,0.4681,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
2yXExAl0FW,A Diffusion-Model of Joint Interactive Navigation,Accept (poster),Modify,46.4,0.1618,0.5502,0.2879,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
8S9Fbee743,Data-driven Optimal Filtering for Linear Systems with Unknown Noise Covariances,Accept (poster),Accept,80.0,0.5868,0.3874,0.0258,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
1wOkHN9JK8,Hierarchical VAEs provide a normative account of motion processing in the primate brain,Accept (poster),Modify,50.1,0.1341,0.6678,0.1981,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
OZ7aImD4uQ,Scale Alone Does not Improve Mechanistic Interpretability in Vision Models,Accept (spotlight),Modify,69.9,0.438,0.4736,0.0883,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
SGerL9HMrp,Tracking Most Significant Shifts in Nonparametric Contextual Bandits,Accept (poster),Modify,56.7,0.2043,0.6586,0.137,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
cRGINXQWem,Precise asymptotic generalization for multiclass classification with overparameterized linear models,Accept (spotlight),Accept,89.2,0.7723,0.2169,0.0108,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
PMvudWa53L,Fair Adaptive Experiments,Accept (poster),Modify,47.2,0.1576,0.5715,0.2708,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
T5h69frFF7,UNSSOR: Unsupervised Neural Speech Separation by Leveraging Over-determined Training Mixtures,Accept (poster),Reject,35.7,0.1209,0.4302,0.449,"Major revision needed before submission; strengthen evidence and contribution framing. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
j0U6XJubbP,Versatile Energy-Based Probabilistic Models for High Energy Physics,Accept (poster),Modify,71.0,0.4281,0.5121,0.0598,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
LqOQ1uJmSx,Compositional Generalization from First Principles,Accept (poster),Modify,62.7,0.3185,0.5613,0.1202,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
A9mHph8GJk,NAS-X: Neural Adaptive Smoothing via Twisting,Accept (poster),Modify,49.9,0.1668,0.6048,0.2285,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
SdYHLTCC5J,SpecTr: Fast Speculative Decoding via Optimal Transport,Accept (poster),Modify,35.8,0.0623,0.5375,0.4003,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
cAPMmCl2f3,"Fair, Polylog-Approximate Low-Cost Hierarchical Clustering",Accept (poster),Modify,49.2,0.138,0.6445,0.2176,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
JeKXmYb4kd,Minimax-Optimal Location Estimation,Accept (poster),Modify,66.0,0.2998,0.655,0.0453,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
RiyH3z7oIF,Posterior Sampling with Delayed Feedback for Reinforcement Learning with Linear Function Approximation,Accept (poster),Modify,38.7,0.1011,0.5197,0.3792,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
hyPUZX03Ks,A polar prediction model for learning to represent visual transformations,Accept (poster),Modify,47.8,0.1613,0.5757,0.263,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
thbXgJ8gNK,No Train No Gain: Revisiting Efficient Training Algorithms For Transformer-based Language Models,Accept (poster),Modify,50.2,0.1929,0.5618,0.2454,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
DzaCE00jGV,Modelling Cellular Perturbations with the Sparse Additive Mechanism Shift Variational Autoencoder,Accept (poster),Modify,52.4,0.1628,0.6566,0.1806,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
DD0QJvPbTD,ParaFuzz: An Interpretability-Driven Technique for Detecting Poisoned Samples in NLP,Accept (poster),Modify,50.4,0.1099,0.7161,0.174,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
CpoS56pYnU,HiNeRV: Video Compression with Hierarchical Encoding-based Neural Representation,Accept (poster),Modify,36.1,0.0422,0.5799,0.3779,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
AesN5bYnJr,No-Regret Online Prediction with Strategic Experts,Accept (poster),Modify,50.4,0.1794,0.5902,0.2304,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
sL4pJBXkxu,ELDEN: Exploration via Local Dependencies,Accept (poster),Modify,49.9,0.1218,0.6856,0.1926,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
TXoZiUZywf,Improved Algorithms for Stochastic Linear Bandits Using Tail Bounds for Martingale Mixtures,Accept (oral),Modify,66.4,0.3965,0.4872,0.1163,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
DkeeXVdQyu,How to Scale Your EMA,Accept (spotlight),Modify,54.3,0.1929,0.6374,0.1697,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
nI7EmXq2PL,$H$-Consistency Bounds: Characterization and Extensions,Accept (poster),Modify,70.2,0.4366,0.4824,0.081,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
lkEiOZlmPm,Single-Pass Pivot Algorithm for Correlation Clustering. Keep it simple!,Accept (poster),Accept,87.4,0.7354,0.2519,0.0127,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
IrjXmIKFyx,Model-free Posterior Sampling via Learning Rate Randomization,Accept (poster),Modify,37.9,0.0959,0.5146,0.3895,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
sw2Y0sirtM,"A Unified, Scalable Framework for Neural Population Decoding",Accept (poster),Modify,45.9,0.1177,0.6211,0.2612,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
iSd8g75QvP,A Trichotomy for Transductive Online Learning,Accept (poster),Accept,93.9,0.869,0.1277,0.0033,"Paper looks submission-ready; polish clarity and check reviewer-risk areas. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
89ia77nZ8u,Towards Automated Circuit Discovery for Mechanistic Interpretability,Accept (spotlight),Modify,50.6,0.1288,0.686,0.1852,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
nafgeYknRT,Generating Behaviorally Diverse Policies with Latent Diffusion Models,Accept (poster),Modify,46.8,0.0969,0.6743,0.2288,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
KoQgA0coZ9,Distributed Personalized Empirical Risk Minimization,Accept (poster),Modify,49.4,0.1557,0.6147,0.2297,"Revise before submission; focus on the highest-risk reviewer concerns. Add a focused Introduction with problem, gap, and contribution. Clarify the method/approach enough for a reviewer to reproduce the idea. Add or strengthen the Experiments/Evaluation section. Show concrete results and analysis, not only claims."
