paper_id,conference,split,title,actual_label,predicted_decision,accept_probability,reject_probability,xai_focus,suggestion_1,suggestion_2,suggestion_3,suggestions
382.0,acl_2017,train,Creating Training Corpora for NLG Micro-Planning,Reject,Reject,0.1391,0.8609,Reviewer confidence: 4.0; Conclusion Word Count: 453.0; Author Count: 0.0,Improve clarity so reviewers can judge the contribution with higher confidence.,Improve this paper aspect before submission.,,Improve clarity so reviewers can judge the contribution with higher confidence. Improve this paper aspect before submission.
904.2623,arxiv.cs.ai_2007-2017,train,Exponential Family Graph Matching and Ranking,Accept,Modify,0.5147,0.4853,Has Conclusion: 0.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.",Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Improve related-work coverage with precise citations. Find and fix the strongest negative reviewer concern."
911.1965,arxiv.cs.ai_2007-2017,train,Active Learning for Mention Detection: A Comparison of Sentence Selection Strategies,Reject,Reject,0.2403,0.7597,Has Experiments: 0.0; Conclusion Word Count: 142.0; Title Word Count: 11.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Find and fix the strongest negative reviewer concern."
911.3708,arxiv.cs.ai_2007-2017,train,Manipulability of Single Transferable Vote,Reject,Reject,0.2007,0.7993,Conclusion Word Count: 246.0; Has Experiments: 0.0; Multi Author: 0.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.","Strengthen experiments with datasets, metrics, and comparisons.","Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Strengthen experiments with datasets, metrics, and comparisons."
1001.0921,arxiv.cs.ai_2007-2017,train,Graph Quantization,Reject,Modify,0.4819,0.5181,Conclusion Word Count: 198.0; Has Experiments: 0.0; Experiment detail: 0.0,Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Add limitations, failure cases, and future work.","Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add limitations, failure cases, and future work. Find and fix the strongest negative reviewer concern."
1001.2709,arxiv.cs.ai_2007-2017,train,Kernel machines with two layers and multiple kernel learning,Reject,Modify,0.3756,0.6244,Conclusion Word Count: 167.0; Multi Author: 0.0; Author Count: 1.0,Improve this paper aspect before submission.,Improve related-work coverage with precise citations.,,Improve this paper aspect before submission. Improve related-work coverage with precise citations.
1001.4892,arxiv.cs.ai_2007-2017,train,Janus: Automatic Ontology Builder from XSD files,Reject,Reject,0.1392,0.8608,Paper length: 983.0; Has Experiments: 0.0; Experiment detail: 0.0,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",Improve this paper aspect before submission.,"Strengthen experiments with datasets, metrics, and comparisons.","Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear. Improve this paper aspect before submission. Strengthen experiments with datasets, metrics, and comparisons. Add limitations, failure cases, and future work."
1002.0136,arxiv.cs.ai_2007-2017,train,,Reject,Reject,0.0917,0.9083,Average Title Word Length: 0.0; Author Count: 0.0; Conclusion Word Count: 268.0,Improve this paper aspect before submission.,"Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear.",,"Improve this paper aspect before submission. Expand or tighten the manuscript so the contribution, method, evidence, and limitations are clear."
1002.3195,arxiv.cs.ai_2007-2017,train,Efficiently Discovering Hammock Paths from Induced Similarity Networks,Reject,Modify,0.6156,0.3844,Has Conclusion: 0.0; Limitation discussion: 2.0; Has Related Work: 0.0,Improve this paper aspect before submission.,"Add limitations, failure cases, and future work.",Find and fix the strongest negative reviewer concern.,"Improve this paper aspect before submission. Add limitations, failure cases, and future work. Find and fix the strongest negative reviewer concern. Address reviewer concerns that lowered recommendation scores."
1002.4286,arxiv.cs.ai_2007-2017,train,"REDUNDANCY, DEDUCTION SCHEMES, AND MINIMUM-SIZE BASES FOR ASSOCIATION RULES",Reject,Reject,0.3236,0.6764,Has Conclusion: 0.0; Methodology detail: 0.0; Has Experiments: 0.0,Improve this paper aspect before submission.,Clarify the methodology with reproducible details.,Improve related-work coverage with precise citations.,"Improve this paper aspect before submission. Clarify the methodology with reproducible details. Improve related-work coverage with precise citations. Strengthen experiments with datasets, metrics, and comparisons. Improve readability by simplifying long sentences."
